"word","freq"
"A  ","A  ","  6"
"A   ","A   ","  3"
"A    ","A    ","  1"
"A    Conorhinus","A    Conorhinus","  1"
"A    Reduvius","A    Reduvius","  1"
"A   Conorhinus","A   Conorhinus","  1"
"A   Conorhinus sanguisuga","A   Conorhinus sanguisuga","  1"
"A   DIAGNOSIS","A   DIAGNOSIS","  1"
"A   DIAGNOSIS Linshcosteus","A   DIAGNOSIS Linshcosteus","  1"
"A   Triatoma","A   Triatoma","  1"
"A   Triatoma longipennis","A   Triatoma longipennis","  1"
"A  A","A  A","  1"
"A  A ","A  A ","  1"
"A  A  ","A  A  ","  1"
"A  Conorhinus","A  Conorhinus","  1"
"A  Conorhinus lignarius","A  Conorhinus lignarius","  1"
"A  Conorhinus lignarius Walker","A  Conorhinus lignarius Walker","  1"
"A  Eutriatoma","A  Eutriatoma","  1"
"A  Eutriatoma arthuri","A  Eutriatoma arthuri","  1"
"A  Eutriatoma arthuri Pinto","A  Eutriatoma arthuri Pinto","  1"
"A  Psammolestes","A  Psammolestes","  1"
"A  Psammolestes coreodes","A  Psammolestes coreodes","  1"
"A  Psammolestes coreodes Bergroth","A  Psammolestes coreodes Bergroth","  1"
"A  Reduvius","A  Reduvius","  1"
"A  Reduvius geniculatus","A  Reduvius geniculatus","  1"
"A  Reduvius geniculatus Latreille","A  Reduvius geniculatus Latreille","  1"
"A  Sides","A  Sides","  1"
"A  Sides of","A  Sides of","  1"
"A  Sides of anterior","A  Sides of anterior","  1"
"A  Triatoma","A  Triatoma","  1"
"A  Triatoma chinai","A  Triatoma chinai","  1"
"A  Triatoma chinai Del","A  Triatoma chinai Del","  1"
"A Abalos","A Abalos","  1"
"A Abalos and","A Abalos and","  1"
"A Abalos and Wygodzinsy","A Abalos and Wygodzinsy","  1"
"A Abalos and Wygodzinsy ","A Abalos and Wygodzinsy ","  1"
"A B","A B","  5"
"A B ","A B ","  2"
"A B  Lamus","A B  Lamus","  1"
"A B  Lamus rufotuberculatus","A B  Lamus rufotuberculatus","  1"
"A B  Reduvius","A B  Reduvius","  1"
"A B  Reduvius infestans","A B  Reduvius infestans","  1"
"A B pl","A B pl","  2"
"A B pl ","A B pl ","  2"
"A B pl  fig","A B pl  fig","  1"
"A B pl  figs","A B pl  figs","  1"
"A B Ratio","A B Ratio","  1"
"A B Ratio width","A B Ratio width","  1"
"A B Ratio width of","A B Ratio width of","  1"
"A C","A C","  2"
"A C H","A C H","  1"
"A C H K","A C H K","  1"
"A C H K C","A C H K C","  1"
"A C K","A C K","  1"
"A C K ","A C K ","  1"
"A C K  IOF","A C K  IOF","  1"
"A D","A D","  1"
"A D IOCE","A D IOCE","  1"
"A D IOCE C","A D IOCE C","  1"
"A D IOCE C D","A D IOCE C D","  1"
"A F","A F","  2"
"A F Corium","A F Corium","  1"
"A F Corium and","A F Corium and","  1"
"A F Corium and basal","A F Corium and basal","  1"
"A F L","A F L","  1"
"A F L F","A F L F","  1"
"A F L F F","A F L F F","  1"
"A First","A First","  1"
"A First rostral","A First rostral","  1"
"A First rostral segment","A First rostral segment","  1"
"A First rostral segment attaining","A First rostral segment attaining","  1"
"A General","A General","  1"
"A General aspect","A General aspect","  1"
"A General aspect B","A General aspect B","  1"
"A General aspect B Anterior","A General aspect B Anterior","  1"
"A Head","A Head","  1"
"A Head dorsal","A Head dorsal","  1"
"A Head dorsal view","A Head dorsal view","  1"
"A Head dorsal view B","A Head dorsal view B","  1"
"A Hemelytra","A Hemelytra","  1"
"A Hemelytra and","A Hemelytra and","  1"
"A Hemelytra and hind","A Hemelytra and hind","  1"
