Abdomen,69
Antennae,30
Antenniferous tubercles,92
Anteocular region,109
Anterior lobe,79
Anterolateral angles,45
Anterolateral projections,44
Body,36
Clypeus,84
Connexivum,81
Corium,71
Eyes,106
Femora,30
First antennal segment,74
First rostral segment,45
Fore,77
Genitalia,30
Genae,93
General color,29
Head,129
Hemelytra,119
Humeral angles,67
Integument,29
Jugae,54
Legs,121
Length,110
Membrane,43
Neck,73
Ocelli,36
Overall color,84
Pilosity,33
Posterior lobe,84
Posterior process,49
Pronotum,113
Ratio of antennal segments,90
Ratio of rostral segments,96
Ratio width of eye to synthlipsis,79
Rostrum,115
Scutellum,113
Second antennal segment,27
Setae,50
Spiracles,89
Spongy fossulae,36
Submedian carinae,54
Tibiae,28
Urosternites,37
Venter,84
