460:Alberprosenia,Martinez and Carcavallo
460:ALBERPROSENIINI,MARTINEZ AND CARCAVALLO
199:Triatoma,amicitiae
427:Psammolestes,arthuri
201:Triatoma,arthurneivai
203:Triatoma,barberi 
440:BELMINUS,ST
438:Bolbodera,Valdes
437:BOLBODERINI,USINGER
457:Microtriatoma,borbai
204:Triatoma,bouvieri
206:Triatoma,brasiliensis
407:Rhodnius,brethes
208:Triatoma,breyeri
452:Parabelminus,carioca
352:Linshcosteus,carnifex
211:Triatoma,carrioni
433:Cavernicola,Barber
213:Triatoma,cavernicola
433:CAVERNICOLINI,USINGER
366:Panstrongylus,chinai
354:Linshcosteus,chota
214:Triatoma,circummaculata
355:Linshcosteus,confumus
429:Psammolestes,coreodes
216:Triatoma,costalimai
443:Belminus,costaricensis
357:Linshcosteus,costalis
346:Eratyrus,cuspidatus
408:Rhodnius,dalessandroi
218:Triatoma,deanei
220:Triatoma,delpontei
368:Panstrongylus,diasi
222:Triatoma,dimidiata
360:Dipetalogaster,Usinger
225:Triatoma,dispar
408:Rhodnius,domesticus
410:Rhodnius,ecuadoriensis
346:ERATYRUS,STAL
228:Triatoma,eratyrusiforme
232:Triatoma,flavida
370:Panstrongylus,geniculatus
234:Triatoma,gerstaeckeri
462:Alberprosenia,goyovargasi
236:Triatoma,guasayana
238:Triatoma,guazu
375:Panstrongylus,guentheri
241:Triatoma,hegneri
445:Belminus,herreri
378:Panstrongylus,herreri
401:Paratriatoma,hirsuta Barber
380:Panstrongylus,howardi
382:Panstrongylus,humeralis
243:Triatoma,incrassata
244:Triatoma,indictiva
246:Triatoma,infestans
358:Linshcosteus,kali
250:Triatoma,lecticularia
384:Panstrongylus,lenti
253:Triatoma,lenti
255:Triatoma,leopoldi
386:Panstrongylus,lignarius
257:Triatoma,limai
351:Linshcosteus,Distant
259:Triatoma,longipennis
389:Panstrongylus,Lutzi
261:Triatoma,maculata
264:Triatoma,matogrossensis
360:Dipetalogaster,maximus
266:Triatoma,mazzottii
391:Panstrongylus,megistus
267:Triatoma,melanocephala
270:Triatoma,mexicana
456:MICROTRIATOMA,PROSEN AND MARTINEZ
271:Triatoma,migrans
349:Eratyrus,mucronatus
411:Rhodnius,nasutus
413:Rhodnius,neglectus
415:Rhodnius,neivai
273:Triatoma,neotomae
275:Triatoma,nigromaculata
278:Triatoma,nitida
280:Triatoma,obscura
282:Triatoma,oliveirai
416:Rhodnius,pallescens
284:Triatoma,pallidipennis
363:Panstrongylus,Berg
451:Parabelminus,Lent
418:Rhodnius,paraensis
401:Paratriatoma,Barber
286:Triatoma,patagonica
288:Triatoma,peninsularis
447:Belminus,peruvianus
290:Triatoma,petrochii
292:Triatoma,phyllosoma
419:Rhodnius,pictipes
296:Triatoma,picturata
434:Cavernicola,pilosa
298:Triatoma,platensis
422:Rhodnius,prolixus
300:Triatoma,protracta
426:Psammolestes,Bergroth
303:Triatoma,pseudomaculata
305:Triatoma,pugasi
306:Triatoma,recurva
403:RHODNIINI,PINTO
404:Rhodnius,Stal
424:Rhodnius,robustus
309:Triatoma,rubida
312:Triatoma,rubrofasciata
316:Triatoma,rubrovaria
395:Panstrongylus,rufotuberculatus
449:Belminus,rugulosus
319:Triatoma,ryckmani
321:Triatoma,sanguisuga
439:Bolbodera,scabrosa
324:Triatoma,sinaloensis
325:Triatoma,sinica
326:Triatoma,sordida
330:Triatoma,spinolai
431:Psammolestes,tertius
335:Triatoma,tibiamaculata
181:Triatoma,Laporte
180:Triatomini,Jeannel
458:Microtriatoma,trinidadensis
398:Panstrongylus,tupynambai
336:Triatoma,venosa
339:Triatoma,vitticeps
342:Triatoma,williami
343:Triatoma,wygodzinskyi
454:Parabelminus,yurupucu
