Abdomen,69
Antennae,30
Antenniferous,93
Antenniferous tubercles,92
Antenniferous tubercles situated,47
Anteocular,110
Anteocular region,109
Anterior,79
Anterior lobe,79
Anterolateral,96
Anterolateral angles,45
Anterolateral projections,44
Body,36
Clypeus,84
Clypeus narrow,42
Connexivum,81
Conorhinus,32
Corium,71
Eyes,106
Eyes in,63
Eyes in lateral,49
Eyes in lateral view,46
Femora,30
Figures,110
First,105
First and,28
First antennal,75
First antennal segment,74
First antennal segment falling,29
First rostral,47
First rostral segment,45
First rostral segment attaining,27
First rostral segment attaining level,26
Fore,77
Fore and,62
Fore and mid,61
Fore and mid femora,50
Fore and mid femora with,43
GENITALIA,30
Genae,93
Genae narrowly,45
Genae narrowly tapering,28
General,32
General color,29
Head,129
Hemelytra,119
Hemelytra attaining,33
Humeral,67
Humeral angles,67
Humeral angles rounded,43
Integument,29
Jugae,54
Jurberg,40
Jurberg p,26
Lateral,29
Legs,121
Legs uniformly,45
Legs uniformly dark,27
Length,110
Length of,97
Length of male,91
Length of male mm,36
Lent,67
Lent and,46
Lent and Jurberg,40
Lent and Jurberg p,26
MALE,28
MALE GENITALIA,28
Membrane,43
Neck,73
Neck dark,27
Neiva,42
Ocelli,36
Overall,85
Overall color,84
Overall color dark,28
Pilosity,33
Pinto,49
Pinto p,40
Posterior,91
Posterior lobe,84
Posterior process,49
Posterior process of,28
Posterior process of scutellum,27
Pronotum,113
Pronotum with,32
Ratio,110
Ratio of,108
Ratio of antennal,90
Ratio of antennal segments,90
Ratio of rostral,96
Ratio of rostral segments,96
Ratio width,100
Ratio width of,100
Ratio width of eye,79
Ratio width of eye to,79
Rostrum,115
Rostrum as,38
Rostrum with,30
Scutellum,113
Scutellum with,30
Second,61
Second antennal,27
Second antennal segment,27
Setae,50
Setae of,27
Spiracles,89
Spongy,38
Spongy fossulae,36
Submedian,54
Submedian carinae,54
Tibiae,28
Triatoma,78
Urosternites,37
Usinger,50
Usinger p,49
Usinger p pl,26
Venter,84
Venter convex,46
l,71
p,121
