Martinez and Carcavallo, 460:Alberprosenia
MARTINEZ AND CARCAVALLO, 460:ALBERPROSENIINI
amicitiae, 199:Triatoma
arthuri, 427:Psammolestes
arthurneivai, 201:Triatoma
barberi, 203:Triatoma
STAL, 440:BELMINUS
Valdes, 438:Bolbodera
USINGER, 437:BOLBODERINI
borbai, 457:Microtriatoma
bouvieri, 204:Triatoma
brasiliensis, 206:Triatoma
brethes, 407:Rhodnius
breyeri, 208:Triatoma
carioca, 452:Parabelminus
carnifex, 352:Linshcosteus
carrioni, 211:Triatoma
Barber, 433:Cavernicola
cavernicola, 213:Triatoma
USINGER, 433:CAVERNICOLINI
chinai, 366:Panstrongylus
chota, 354:Linshcosteus
circummaculata, 214:Triatoma
confumus, 355:Linshcosteus
coreodes, 429:Psammolestes
costalimai, 216:Triatoma
costaricensis, 443:Belminus
costalis, 357:Linshcosteus
STAL, 346:ERATYRUS
cuspidatus, 346:Eratyrus
dalessandroi, 408:Rhodnius
deanei, 218:Triatoma
delpontei, 220:Triatoma
diasi, 368:Panstrongylus
dimidiata, 222:Triatoma
Usinger, 360:Dipetalogaster
dispar, 225:Triatoma
domesticus, 408:Rhodnius
ecuadoriensis, 410:Rhodnius
eratyrusiformis, 228:Triatoma
flavida, 232:Triatoma
geniculatus, 370:Panstrongylus
gerstaeckeri, 234:Triatoma
goyovargasi, 462:Alberprosenia
guasayana, 236:Triatoma
guazu, 238:Triatoma
guentheri, 375:Panstrongylus
hegneri, 241:Triatoma
herreri, 445:Belminus
herreri, 378:Panstrongylus
hirsuta Barber, 401:Paratriatoma
howardi, 380:Panstrongylus
humeralis, 382:Panstrongylus
incrassata, 243:Triatoma
indictiva, 244:Triatoma
infestans, 246:Triatoma
kali, 358:Linshcosteus
lecticularia, 250:Triatoma
lenti, 384:Panstrongylus
lenti, 253:Triatoma
leopoldi, 255:Triatoma
lignarius, 386:Panstrongylus
limai, 257:Triatoma
Distant, 351:Linshcosteus
longipennis, 259:Triatoma
Lutzi, 389:Panstrongylus
maculata, 261:Triatoma
matogrossensis, 264:Triatoma
maximus, 360:Dipetalogaster
mazzottii, 266:Triatoma
megistus, 391:Panstrongylus
melanocephala, 267:Triatoma
mexicana, 270:Triatoma
PROSEN AND MARTINEZ, 456:MICROTRIATOMA
migrans, 271:Triatoma
mucronatus, 349:Eratyrus
nasutus, 411:Rhodnius
neglectus, 413:Rhodnius
neivai, 415:Rhodnius
neotomae, 273:Triatoma
nigromaculata, 275:Triatoma
nitida, 278:Triatoma
obscura, 280:Triatoma
oliveirai, 282:Triatoma
pallescens, 416:Rhodnius
pallidipennis, 284:Triatoma
BERG, 363:PANSTRONGYLUS
Lent, 451:Parabelminus
paraensis, 418:Rhodnius
Barber, 401:Paratriatoma
patagonica, 286:Triatoma
peninsularis, 288:Triatoma
peruvianus, 447:Belminus
petrochii, 290:Triatoma
phyllosoma, 292:Triatoma
pictipes, 419:Rhodnius
picturata, 296:Triatoma
pilosa, 434:Cavernicola
platensis, 298:Triatoma
prolixus, 422:Rhodnius
protracta, 300:Triatoma
Bergroth, 426:Psammolestes
pseudomaculata, 303:Triatoma
pugasi, 305:Triatoma
recurva, 306:Triatoma
PINTO, 403:RHODNIINI
Stal, 404:Rhodnius
robustus, 424:Rhodnius
rubida, 309:Triatoma
rubrofasciata, 312:Triatoma
rubrovaria, 316:Triatoma
rufotuberculatus, 395:Panstrongylus
rugulosus, 449:Belminus
ryckmani, 319:Triatoma
sanguisuga, 321:Triatoma
scabrosa, 439:Bolbodera
sinaloensis, 324:Triatoma
sinica, 325:Triatoma
sordida, 326:Triatoma
spinolai, 330:Triatoma
tertius, 431:Psammolestes
tibiamaculata, 335:Triatoma
Laporte, 181:Triatoma
JEANNEL, 180:TRIATOMINI
trinidadensis, 458:Microtriatoma
tupynambai, 398:Panstrongylus
venosa, 336:Triatoma
vitticeps, 339:Triatoma
williami, 342:Triatoma
wygodzinskyi, 343:Triatoma
yurupucu, 454:Parabelminus
