TRIATOMINI JEANNEL
Triatoma Laporte
Triatoma amicitiae
Triatoma arthurneivai
Triatoma barberi
Triatoma bouvieri
Triatoma brasiliensis
Triatoma breyeri
Triatoma carrioni
Triatoma cavernicola
Triatoma circummaculata
Triatoma costalimai
Triatoma deanei
Triatoma delpontei
Triatoma dimidiata
Triatoma dispar
Triatoma eratyrusiformis
Triatoma flavida
Triatoma gerstaeckeri
Triatoma guasayana
Triatoma guazu
Triatoma hegneri
Triatoma incrassata
Triatoma indictiva
Triatoma infestans
Triatoma lecticularia
Triatoma lenti
Triatoma leopoldi
Triatoma limai
Triatoma longipennis
Triatoma maculata
Triatoma matogrossensis
Triatoma mazzottii
Triatoma melanocephala
Triatoma mexicana
Triatoma migrans
Triatoma neotomae
Triatoma nigromaculata
Triatoma nitida
Triatoma obscura
Triatoma oliveirai
Triatoma pallidipennis
Triatoma patagonica
Triatoma peninsularis
Triatoma petrochii
Triatoma phyllosoma
Triatoma picturata
Triatoma platensis
Triatoma protracta
Triatoma pseudomaculata
Triatoma pugasi
Triatoma recurva
Triatoma rubida
Triatoma rubrofasciata
Triatoma rubrovaria
Triatoma ryckmani
Triatoma sanguisuga
Triatoma sinica
Triatoma sordida
Triatoma spinolai
Triatoma tibiamaculata
Triatoma venosa
Triatoma vitticeps
Triatoma williami
Triatoma wygodzinskyi
ERATYRUS STAL
Eratyrus cuspidatus
Eratyrus mucronatus
Linshcosteus Distant
Linshcosteus carnifex
Linshcosteus chota
Linshcosteus confumus
Linshcosteus costalis
Linshcosteus kali
Dipetalogaster Usinger
Dipetalogaster maximus
Panstrongylus Berg
Panstrongylus chinai
Panstrongylus diasi
Panstrongylus geniculatus
Panstrongylus guentheri
Panstrongylus herreri
Panstrongylus howardi
Panstrongylus humeralis
Panstrongylus lenti
Panstrongylus lignarius
Panstrongylus Lutzi
Panstrongylus megistus
Panstrongylus rufotuberculatus
Panstrongylus tupynambai
Paratriatoma Barber
Paratriatoma hirsuta Barber
RHODNIINI PINTO
Rhodnius Stal
Rhodnius brethes
Rhodnius domesticus
Rhodnius ecuadoriensis
Rhodnius nasutus
Rhodnius neglectus
Rhodnius neivai
Rhodnius pallescens
Rhodnius paraensis
Rhodnius pictipes
Rhodnius prolixus
Rhodnius robustus
Psammolestes Bergroth
Psammolestes arthuri
Psammolestes coreodes
Psammolestes tertius
CAVERNICOLINI USINGER
Cavernicola Barber
Cavernicola pilosa
BOLBODERINI USINGER
Bolbodera Valdes
Bolbodera scabrosa
BELMINUS STAL
Belminus costaricensis
Belminus herreri
Belminus peruvianus
Belminus rugulosus
Parabelminus Lent
Parabelminus carioca
Parabelminus yurupucu
MICROTRIATOMA PROSEN AND MARTINEZ
Microtriatoma borbai
Microtriatoma trinidadensis
ALBERPROSENIINI MARTINEZ AND CARCAVALLO
Alberprosenia Martinez and Carcavallo
Alberprosenia goyovargasi
